sn,zhel,zcmb,st,est,Mmax,eMmax,BV,eBV,t0,EBVmw,eEBVmw,covMs,covBVs,covBV_M,host,dist,edist,sample
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.865,0.038,0.24599999999999866,0.0170293863659264,-5.8,0.0179,0.0018,5.878e-05,-2.8799999999999995e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ13dkp,0.0689367,0.0685268,0.646,0.009,19.106,0.048,0.00999999999999801,0.01345362404707371,-3.6,0.0145,0.0015,-4.99e-05,2.600000000000002e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14act,0.05905,0.0594518,0.691,0.007,18.822,0.028,0.0030000000000001137,0.009899494936611667,-2.2,0.2269,0.0227,-6.462e-05,-5.88e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14gfb,0.0527067,0.0527873,0.586,0.033,18.99,0.088,0.5300000000000011,0.06226556030423239,4.0,0.0159,0.0016,-0.0004261,-2.409999999999999e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ14ip,0.0612967,0.0624196,0.509,0.01,19.166,0.089,0.33800000000000097,0.022803508501982758,-7.3,0.0373,0.0037,-3.699e-05,-4.4460000000000005e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ14jp,0.04539,0.0464896,0.675,0.007,18.275,0.096,0.12300000000000111,0.01,6.5,0.053,0.0053,-0.0001145,9.834e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF11ppn,0.0672534,0.0661869,0.641,0.037,18.801,0.12,0.18900000000000006,0.17917589123540031,7.4,0.132,0.0132,-0.001188,0.00017540000000000004,0.0,N/A,-1.0,-1.0,CSPII
PTF11pra,0.0175433,0.0167242,0.439,0.017,16.649,0.052,0.9200000000000017,0.06,1.9,0.0243,0.0024,-5.894e-06,-3.1940000000000003e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF14aje,0.0276708,0.0282271,0.684,0.005,17.408,0.023,0.6080000000000005,0.010816653826391968,-2.2,0.1524,0.0152,-3.604e-05,-2.0989999999999997e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF14w,0.0188933,0.0200839,0.742,0.004,16.456,0.018,0.055999999999997385,0.005,-3.3,0.0205,0.0021,-9.761e-06,2.896e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2011jn,0.0474433,0.0485384,0.641,0.021,18.192,0.085,0.12100000000000222,0.08848163651289458,5.4,0.0593,0.0059,-0.0001569,-4.6884e-05,0.0,N/A,-1.0,-1.0,CSPII
SN2013ay,0.0157167,0.0156526,0.495,0.019,15.898,0.062,0.5299999999999994,0.08348652585896721,7.4,0.0622,0.0062,-6.52e-05,-5.4080000000000004e-05,0.0,N/A,-1.0,-1.0,CSPII
SN2013bc,0.02245,0.023528,0.482,0.022,17.244,0.084,0.7510000000000012,0.0658027355054484,0.7,0.0407,0.0041,6.104e-05,-8.650999999999999e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2014dn,0.0221733,0.0221408,0.466,0.005,16.988,0.066,0.6529999999999987,0.01,3.7,0.0161,0.0016,2.607e-06,-3.5830000000000003e-06,0.0,N/A,-1.0,-1.0,CSPII
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.782,0.178,0.125,0.08683893136145793,0.7,0.0444,0.0044,-0.002718,-0.00030082000000000004,0.0,N/A,-1.0,-1.0,CSPII
SN2006mr,0.0058667,0.00551,0.335,0.004,14.021,0.037,0.7310000000000016,0.02758622844826744,-5.2,0.0179,0.0018,2.838e-05,-1.0749999999999999e-05,0.0,N/A,31.2,0.093,CSPI
SN2007on,0.00649,0.0061833,0.588,0.003,13.284,0.013,0.11599999999999966,0.012041594578792296,-9.5,0.0098,0.001,-8.958e-06,1.651e-06,0.0,N/A,31.453,0.084,CSPI
SN2008R,0.0134933,0.0128867,0.633,0.006,15.482,0.057,0.11999999999999922,0.01063014581273465,0.6,0.0618,0.0062,-4.042e-05,-7.641e-06,0.0,NGC1200,33.66,0.08,N/A
SN2011iv,0.0,0.0,0.699,0.007,12.765,0.033,0.0,0.0,0.0,0.0,0.0,-4.77e-05,0.0,0.0,,31.453,0.084,
PTF13ebh,0.01326,0.012484,0.636,0.004,15.22,0.023,0.12299999999999933,0.009219544457292887,-12.0,0.0668,0.0067,-3.056e-06,-1.099e-06,0.0,NGC0890,33.296,0.081,N/A
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.168,0.035,0.4540000000000006,0.01063014581273465,12.2,0.0226,0.0023,1.878e-05,-7.608e-06,0.0,NGC5490,34.267,0.08,N/A
SNhunt281,0.0040667,0.004706,0.693,0.003,14.006,0.017,0.04499999999999993,0.007071067811865475,-3.0,0.0454,0.0045,-4.832e-06,-1.6239999999999996e-06,0.0,N/A,32.369,0.078,CSPII
